Minimized_cut,Max_of_single,Single_terminal_minimized,Minimized,ThompsonModifiedHeuristic,Combined,size,ThompsonModified,Sum_of_single
9230,2007,30650,48979,7466,62049,610,9909,45949
9711,1299,15301,17358,5911,19052,111,9963,8913
194,534,2738,3486,105,4071,63,236,3633
600,524,1922,2764,376,4231,41,607,2562
236,528,2408,2734,197,5633,29,239,2706
174,1014,1457,1708,165,6205,23,198,1723
19,99,451,464,16,736,14,19,491
49,502,1104,1114,43,1844,11,49,1132
57,807,1404,1413,36,2725,10,58,1413
11,520,684,692,10,846,9,11,706
11,41,136,144,10,308,9,11,159
12,71,221,229,10,766,9,12,246
122,54,156,167,69,211,9,131,303
